a|to, towards, at
soldat; —a|soldier; —ly
soldo; —i|(soldier's) pay; to —; to hire, to bribe
solema; —o|lonely; —iness
solena; —ado; —eso|solemn; —ity
solfejo|solfeggio, sol-fa
solgo|sole
soliciti; —(o); —azo|to beg, to solicit; —itation
solicitor|solicitor
solida; —eso|solid; —ity
solidara; —eso|jointly responsable; solidarity
soliloqo|soliloquy
solist; —a|soloist; solo
solko|furrow;
solo|solo
solsole|privately, with someone alone
solstis|solstice
solto|(animal's) sole
solvabla; —eso|solvent; —ency
solvat|solved, resolved
solvayo|(med.) solution
solvermo|taenia, tapeworm
solvi; —o|to solve; solution
solvibla|soluble
solyo; —a|sun; solar, sunny
solyokad|sunset,
solyokolpo|sunstroke, sunburn
solyolev|sunrise
solyorad|sunray
som|some a; —
somidyes|some day or other
sommode|someway
somnambula; —ist; —ismo|somnam-bulant, —list; —lism; sleepwalker, —king
somo|something
somosa|some other
somoso|something else
somosun|somebody else
somov; —er|riot; —er
somun|somebody
somvorte|in some words
somye|somewhere
somyes|sometimes
son-ondo|sound-wave
son; —a; —i|sound; —ing
sonal; —i|ringing
sonar|sonar;
sonat|(mus.) sonata;
sonatin|sonatina
sondo; —i; —il|boring, sounding;
sonel; —i|sheep-bell, small collar-bell; to jingle
soneso|sonority
soni; —il|to sound; to ring; ring, handbell, house-bell
sonora; —i|sonorous; to voice; to add the sound-track effects, to give sonority (to a film)
sonta|sumptuous, munificent
sonul|sheep-bell, small bell
sonya|dream('s)
sonyadi; —o|to day-dream; —ing
sonye|in dream
sonyemi; —a; —o|to day-dream; —ing
sonyo; —nyi|dream; to —
soplil|bellows
soplo; —i|breath; to breathe, to blow
soplon|rush, flush; hot flush
soplovad|omelette soufftee
sopres; —i|suppression; to suppress
sor|sister
sora|sisterly
sorbi; —o|to absorb; —ption
sorbokoton|absorbent cotton
sorda; —ida; sordo; —eso|sordid; —ness
sordon|skinflint;
sorgaqo|spring-water
sorgo; —a; —ist|source
sorko; —a|spring
sorna; —ado; —eso|sly; — action; —ness
sorpren; —i|surprise; to —
sorsel|sip
sorso|gulp
sort; —e|sort; so that
sortilego|spell, incantation
SOS, S.O.S.|S. O. S.
soself|oneself
sospendi; —o|to suspend; —ension
sospir; —i|sigh; to —
sost(o); —i|halt; little stay, stop; to halt, to stop
sostanso; —a|substance; —tial
sostantiv|substantive
sosten; —i|support; to —
sosto; —i|pause, to —; respite, to —
sotan; —at|cassock, soutane n; a
sotela; —eso|subtle; —ty, acuteness
soteleci|to subtilize, to pinch
sotir; —i|drawing-off; to get out
sotrak; —i|subtraction; to subtract
soven; —i|remembrance; to remember
sovran; —a|sovereign
sovyet; —a|soviet
sozyo|double
spad|sword
spadrel|cord-sole shoe,
spagetos|spaghetti
spago; —orio|string, packing string; string-factory
spak; —a; —i|swank,
spal; —ado; —adi|shoulder; help; to give a leg-up
spalmo; —i|smearing
spansa; spanso; —ema|spreading
spansen; —i|effusion; to discharge
spansi; —o|to spread; —ing
spar|present of
spar(o); —i|saving
sparkaso|savings-bank
sparsi; —o|to scatter; —ing
sparvel|sparrow-hawk
spasa|space
spasmo; —a|.)spasm; —odic, spastic
spaso; —oza|space; —ious
spat|of
spatul|spatula
specala; —e; —i; —eso; —ayo|special; —lly; to —ize; —ality
specifi; —fazo|to specify; —ification
specimen|specimen, sample
speco|kind, sort, species
specoza; —ozo|specious; —ness
sped(o); —i; —er|sending
spek; —i|mirror; to reflect; to gleam
spekadi|to reflect
spektaklo; —a|spectacle; —ular
spekter|spectator
spekto; —i|sight, vision, spectacle; to see, to be a spectator of
spektro; —a|spectre; —al; ghost; —ly
spekul; —i; —er|speculation; to —ate; —ator
spel; —i|spelling; to spell
spena; —t; —i|out (light, fire), extinguished; to put out, to blow out
sper(o); —i; —enda|hope, to —; to be expected
spersa; —e|frantic; desperately
spesa; —o|thick; —ness
spex(o); —i|competence, speciality; to be under the juridiction of, to be of the competence of
spezo; —i; —ema|expense; to spend; thriftless
spezoza|expensive
spi|to know
spico; —i; —ema|contempt; to despise; contemptuous
spid; —a|spit, broach
spigo|ear, spike, cob
spik(o); —azo; —i|expiation; to —iate
spikokapro|scapegoat
spil; —i|pin; to —, to — up
spildi|to be on the look-out for, to spy upon
spilot|saiety-pin; —
spin; —a|thorn; —y
spinaso|spinach
spindo; —i; —il|spinning
spinedo; —a|brushwood; bushy
spinel|hawthorn;
spingi; —o|to push, to hustle; crush, pushing, jostling
spinoco; —a|bramble; —y
spinot|porcupine
spion; —i|spy; to —
spir|past tense of
spiral; —a; —e|spiral; —lly
spiro; —i|respiration; to breathe
spirt-enga|shallow-minded
spirto; —a|spirit
spirtol; —a|wit; witty
spirtopova|poor in spirit
spizel|gingerbread
spizo; —a; —at; —i; —er|spice; —ed; to-; grocer
splanko; —a|viscera; —al
splen; —a|spleen; splenic
splendo; —a; —i|splendour; —did, resplendant, gorgeous; to shine
splin; —i|spleen; to be in low spirits
spol; —i; —azo|skin, spoils; to spoliate, to despoil; spoliation
spolal|corpse, mortal remains
spolvel|dust-coat, overalls, dungarees
spongo; —a|sponge; —y
spontana; —e|spontaneous; —ly
spor|future of s
sporada; —e|sporadic; —ally
sport; —a; —ema|sport
spozi; —o; —in|to marry; husband; wife
sprint; —er|sprint; —er
sprizi; —o|to spout, to gush out; gush, spurt, spouting
spron; —i|spur; to —
spropon; —i|cock-and-bull story; irrelevant (silly) talk; to jump from one thing to another
spropone|irrelevantly
spun; —a; —e|spoon
spunti|to dawn;
spur|conditional of
sput(o); —i|spitting
sqal|shark
sqam; —a|squama; —ous
sqar|square
sqizita|exquisite
Sr (Siro)|Mr. (Mister)
stabila; —i; —azo|stable; to stabilize; —zation
stad(o)|stage, period, degree
stadyo|stadium, arena
staf; —a|staff
stafel|messenger, dispatch-rider
staflo|stirrup
stagnaqo|stagnant (standing) water
stagno; —a; —i|pond, pool; stagnant; to stagnate
staido|seat, stall
stajo; —er|probationary period; probationer
stak; —i|sieve, sifter; to bolt, to sift
stal; —a; —orio|steel
stalko|standard
stalon|stallion, stud-horse
stamen|stamen
stampel|postage stamp, stamp
stampilyo; —y i|mark, stamp; stamping
stampo; —i|print; stamp; seal; to —
Stan; —i; —er|tin
Standard; —a|standard
standing|standing
stando|state, condition
stango|bar, rod
stanka|watertight
stankol|watertight compartment, watertight bulkhead
Stanso; —el|stanza; verse, strophe
star|(cin.) star;
stara; —e|standing
staret|starlet
stari|to stand, — up
stark(o); —i|starch; to —
start(o); —i|start
stasadi; —o|to park standing, parking
staso; —a|stasis; static
stasyon; —ye|station; at, to the —; —
stat|of
Stata; —i; —azo|State's; to establish —control;  ishment
statistik; —a|statistics; —ical
Stato; statvir|State; statesman
statuo; —ua; —uer|statue; —ary; sculptor
statut; —a; —ye|statute; —tory; in the —
stek|steak
stel; —a|star; starry, stellar
stem|escutcheon
Sten(o); —a|shorthand, stenography; —graphic
stencil; —i|stencil; to —
stenda; —do|stretched, outspread, extensive; extension
stendadi|to spread, to stretch out, to extend
stendardo|banner, standard
stendo; —azo|extent; —ension
stener; —in|stenographer m; f
Steni|to take down in shorthand
Stenin|stenographer f
Step; —a; —e|step
stepal; —i|approach; to —
stepi|to go at a walking pace
stepstepe|step by step
sterila; —i; —at; —eso|sterile; to —ize; —zed; —ity; arid, —ity; barren
sternut; —i|sneeze; to —
steryo|) stere
stetoskop|stethoscope
steward; —in|steward; —ess
sti|to stay, to be
stif; —el|boot; ankle —
stiflek; —i; —er|(boot-) licking; to lick; boot-licker
stigmo; —i|stigma; —tic
stik|stick       [-ized
stil; —a; —i; —at|style
stilyo|fountain-pen
stim; —i|esteem, to —
stimadi; —o|estimation; to —ate
stimul; —azo; —i; —ifa|stimulus; —lation; to —late; —ating
stinki; —o|to stink; stink
stip|(tree's) stump; stock;
stipel|stub, counterfoil
stiplo|steeple-chase
stipul; —azo; —i|stipulation; to —ate
stir|past tense of
stiro; —azo; —adi; —erin; —il|ironing (coats); to press up, to iron up; ironer f; flat-iron
stivuk|store-room
stof; —i|stuff; to give fullness, to fill out
stoika; —ismo|stoic(al); —ism
stok; —a; —ye|stock
stomak; —a|stomach; —al
stomit|(wed.) stomatitis
stompi; —o|to dim, to shade off; shading off
stop; —i|stop; to —
stoplo; —a|tow, oakum; to caulk
stopso; —i|darning; to darn
stor|future of
stor(o)|window-blind
stordita; —eso; —ado|heedless; —ness; giddy, —iness
storko; —i|extortion; to extort
storno; —i|refund; to —
stosi; —o|to emboss; —ment
strad(o); —a; —ye|street; —'s; in the —
stragon; —a|tarragon
strana; —eso|strange; —ness
strand; —a; —e|shore; ashore; —
strangi; —er; —o|to strangle; —er; —ing
stras|strass
strato; —a; —e|stratum, layer, bed
stratosfer; —a|stratosphere; —ic
stravago; —a; —i|extravagance; —ant; —vagate
stregi|to bewitch
strego; —in; —io|wizard, sorcerer; witch, sorceress; sorcery
strek; —er; —i|strike; —er; to —;
stren; —i|present, gift; to use (to wear) for the first time
strenga; —o|strenuous; —ness
stret(o)|strait
strida|strident
strigo; —a; —i|stripe; —ed; to — stria, to striate
strika|skimpy, narrow
stril; —i|shriek, scream; to —
stringi; —o|to embrace; — n; to hug; —
Strip; —in; —erin|strip-tease; —er f
strof(o)|strophe
stroso|ostrich
stud; —i; —ema; —ent|study; to —;-ious; —ent
stuf; —a; —at; —i|stove; —ed; to —
stuk; —a|stucco
stup (o); —or|stupor
stupal|narcotic, drug
stupi; —o|to amaze; —ment; to stupefy
stupida; —eso; —ado|stupid; —ity
stupifa|stupefying, amazing, astounding
stusel; —azo; —i; —ema|tickling n; to tickle; —ish
su; —a|under, below
suadi; —o|to persuade; —uasion
suagent; —ur|sub-agent; —cy
sualdo|deputy chief clerk (waiter, station-master); assistant, — manager
sualimenti; —azo|to underfeed; malnutrition
suat|subordinate, —d
suava; —eso|suave; —ity
suazo|subordination
sub-tenent|second-lieutenant
sub; —a|under
subjek; —a; —e|subject; —ive; —ively
suban|dependant, underling
subderker; —in|deputy-director; —directress, — manageress
subdevolva; —o|under-developed; —pment
Subdivid; —i|subdivision; to —vide
sube|below, beneath;
subema; —o|passive; —ity
subi|to suffer, to submit to, to undergo
subin|dependant f
subiolga|subsequent
subita; —e|sudden; —ly
subjogi; —o; —azo|to subjugate; —ation
subkonsho; —a|subconsciousness; —ious
sublima|sublime, lofty
sublimal|sublimate
sublini|to underline
subluk; —i|subletting; to sublet
submara; —ior|submarine
submindi; —o|to understand, to imply; innuendo, implication
submiti; —o; —eso|to submit; submission, submissiveness
Subo|underwear; the side below
subol|saucer
suborni; —o|to suborn; —ation
subret|maid, soubrette
subrog-tutcr|surrogate guardian
subsid; —i|subsidy; to —ize
subsist(o); —i|subsistence; to subsist
substanso; —a|substance; —antial
substantiv|substantive, noun
substitui; —uo|to substitute; —ution
subtaso|saucer
subtenso|low blood-pressure
subtera; —aro|underground
subterfugo|subterfuge, shift
subtitlo; —i|sub-title; to —
suburbo; —a|suburb; —an
subven; —i|subvention; to subsidize
subveo, subpaso|subway
subverti; —o|to subvert; —ersion
subvest|underwear, undergarment
Sud; —a; —e|South
Sudamerik; —a|South America, —an
Sudauror|aurora australis
suden|southern wind
sudesten|south-easter
sudwesten|south-wester
suelper|sub-assistant, deputy assistant
suertadi; —o|to draw lots; lots-drawing
suerto; —a; —e|lot, fate, destiny, hazard, chance
suetago|basement
suevalui; —uo|to underestimate; —ation
suf!|enough!
sufema; —o|conceited, self sufficient; self-conceit, — sufficiency
sufix|suffix
sufle|souffle
sufo; —a; —e|sufficiency; —ient; —tly, enough
sufon; —i|big quantity, more than enough; to be more than sufficient
sufoni|to be more than sufficient
sufrago|suffrage, vote
sugest; —i|suggestion; to influence (by —)
sugo; —a|cork
sui|to subordinate
suicid; —i|suicide; to commit —
sujel; —i|suggestion; to suggest
suk; —a; —oza|juice; —y
sukra|sugared, sweet
sukrel|barley sugar
sukren; —i|candy; to —
sukro; —il; —ol|sugar; —tongs; lump of sugar
sukron|brown sugar
sukulenta; —enso|succulent; —ence
sulfo; —alo|sulphur; sulphate
sulfur|sulphur
sulki; —o|to soil, to dirty; dirt, stain, spot;
sulto|balance payment; fraudulent balance (premium)
sulyo|hoof
sum; —i; —eyo|sum; to — up; summary
sun; —a; —este|soon
sunesta bonesta|the sooner the better
sungi; —o|warbling; to warble
sunto; —a; —i|epitome, compendium; abstract, epitome
suoficer|non-commissioned officer
suol|soil
suol; —e|ground, earth; on the ground
suordan|subordinate, dependant
sup|soup
super; —a|extra, — fine
superba|superb; proud
superflua|superfluous
superi|to exceed, to go beyond, to surpass
superko|fraud, deceit
superponi|to superimpose
superstis; —a|superstition; —ious
Superyor; —in|Superior
supil|soup-ladle, ladle
supla; —eso|supple, soft; —ness
suplanti; —azo|to supplant; —ing
supledi; —o|to replace, to supply, to complete; substitution; functions of (deputy) substitute
suplik; —i|request, petition; to beg, to supplicate, to beseech
suplis; —i; —er|torture; to —; —er, executioner
suport; —i; —er|support; to —; —er
supozi; —o|to suppose; —ition
supra|extra, superior
Supran|Superior
supre|superlatively
suprefekt; —ado|sub-prefect; —ure
suprema; —ado|supreme; —macy
supremel|supreme
supreso|superiority
supri|to outmatch, to surpass
Suprin|Superior f; Mother superior
supro|superiority
suproduk; —azo|under-production
suprun|superior man
supspun; —ayo|soup-spoon, — ful
suput; —i|calculation, estimation; to calculate, to estimate
supuyo|tureen; soup —
sur|over
sur-|prefix for "over"
sura|over
suraia; —i|over age a; to be —
suralimenti; —azo|to feed up; overfeeding, feeding up
suralti|to heighten
suranya|antiquated, superannuated
surbasi|to depress, to surbase;
surbid; —i|outbidding
surbum; —i|big youth-party; to organize a —
surcefe|more than enough
surcil; —adi|eyebrow; to frown
surda; —eso; —i|deaf; —ness; to —en
surdamuta|deaf-and-dumb a; deafmute
surden; —i; —e; —a|mute; to talk, to sound on the sly; muted
surdeta|hard of hearing
surdifa|deafening
surdril|overtraining
sure|over, above
surelgo|first quality, first choice, first selection
surexit; —i|overexcitement; to —ite
surfaco; —a; —ema|surface
surfina|superfine
surgi; —o|to rise, to appear; upheaval, rising n, rise
surgraten|top, upper selection
surkargo; —i|overloading
surklasi|to outclass
surkoka; —at|overdone
surkolma|jam-full
surkontro; —i|redouble; to —
surkot; —i|overtrumping; to —trump
surmen; —i|overwork; to —; to overexert oneself
surmerkade|on top of that, besides all that, into the bargain
surmonti|to surmount
surnagi|to float on the surface
surnam; —el|nickname; sobriquet
surnefra|suprarenal
surnum; —a; —e|exceeding number; supernumerary
surnutri; —o|to feed up; overfeeding
surom; —a|superman; superhuman
surozo; —i|rashness; to act rashly
surpasi|to surpass
surpezo; —i|overweight; to —weigh
surplena|jam-full
surplue|moreover
surpluo|excess, surplus
surpopla; —at; —o|overpopulated; —ation
surpren; —i|surprise; to —
surpresyadi|to overestimate
surpresyel|extra-fare
surpresyi|to overcharge (prices)
surproduki; —azo|to over-produce; —uction
surprovi|to pass an examination (a test)
surrealismo; —ist(a)|surrealism; —ist
surrona|suprarenal
Surs; —a|U. S. S. R.; of the Soviet Union, of U.S.S.R.
sursalto; —i|jump; to —, to give a — (a start)
